"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
1,0.580772060177677,0,-0.423,3.441,1.42,0.98,-7.4190599636596,0.00364888509178689,0.00599689137264604,2.42252820510787,7.11917574205339,2.64104300351444,-9.27587498346628,-0.165168302971759,-0.148991427007996,0.0649185990592949,3.51582318817847
2,0.788635412055643,0,-0.477,3.741,1.496,0.978,-7.41615845607021,0.0257721076671677,0.0222135631453779,2.36566654128299,7.01771686683459,2.61069723956468,-9.12570081392913,-0.159414754764176,-0.151138617503583,0.0651097928370846,3.45706897739204
3,0.918991625600921,0,-0.51,3.968,1.551,0.977,-7.41434127795892,0.0389201559718457,0.031846719225768,2.33126252689398,6.95556799741379,2.59197425270022,-9.03405023766198,-0.155937003823716,-0.152379988238315,0.0652506857409095,3.42131749881524
4,0.538007184627226,0,-0.412,3.389,1.406,0.98,-7.4196572057534,-0.00108745390974096,0.00252388135867694,2.43454397478192,7.14041859628181,2.64736185321965,-9.30740530868814,-0.1663848385883,-0.148522750104614,0.0648850024722753,3.52818705114177
5,0.676769837528703,0,-0.449,3.57,1.454,0.979,-7.4177195471422,0.0140481251060384,0.0136208666360881,2.39595433139348,7.07195261003347,2.62695290410171,-9.20589184072022,-0.162478660213952,-0.150009534262865,0.0650013900261857,3.4884157945365
6,0.788635412055643,0,-0.477,3.741,1.496,0.978,-7.41615845607021,0.0257721076671677,0.0222135631453779,2.36566654128299,7.01771686683459,2.61069723956468,-9.12570081392913,-0.159414754764176,-0.151138617503583,0.0651097928370846,3.45706897739204
7,0.676769837528703,0,-0.449,3.57,1.454,0.979,-7.4177195471422,0.0140481251060384,0.0136208666360881,2.39595433139348,7.07195261003347,2.62695290410171,-9.20589184072022,-0.162478660213952,-0.150009534262865,0.0650013900261857,3.4884157945365
8,0.626936211115339,0,-0.436,3.501,1.436,0.98,-7.41841531320754,0.00868952128721188,0.0096925773822781,2.40968089914979,7.09638735983072,2.63425099933668,-9.24208458711669,-0.163867827025533,-0.14948681777049,0.0649571728033385,3.50258393870604
9,0.626936211115339,0,-0.436,3.501,1.436,0.98,-7.41841531320754,0.00868952128721188,0.0096925773822781,2.40968089914979,7.09638735983072,2.63425099933668,-9.24208458711669,-0.163867827025533,-0.14948681777049,0.0649571728033385,3.50258393870604
10,0.580772060177677,0,-0.423,3.441,1.42,0.98,-7.4190599636596,0.00364888509178689,0.00599689137264604,2.42252820510787,7.11917574205339,2.64104300351444,-9.27587498346628,-0.165168302971759,-0.148991427007996,0.0649185990592949,3.51582318817847
11,0.626936211115339,0,-0.436,3.501,1.436,0.98,-7.41841531320754,0.00868952128721188,0.0096925773822781,2.40968089914979,7.09638735983072,2.63425099933668,-9.24208458711669,-0.163867827025533,-0.14948681777049,0.0649571728033385,3.50258393870604
12,0.730564617050593,0,-0.462,3.65,1.474,0.979,-7.41696868477947,0.019738042392554,0.0177914339380667,2.38129953955065,7.04576588347342,2.61911389799306,-9.16714854390024,-0.160995947294497,-0.15056004003528,0.0650519906871075,3.47326325940059
13,0.676769837528703,0,-0.449,3.57,1.454,0.979,-7.4177195471422,0.0140481251060384,0.0136208666360881,2.39595433139348,7.07195261003347,2.62695290410171,-9.20589184072022,-0.162478660213952,-0.150009534262865,0.0650013900261857,3.4884157945365
