"iteration","best_lambda","best_alpha","MEP","MSEP","MAEP","R2","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
40,0.205875380410245,1,0.288,4.543,1.629,0.981,-7.72665657875458,2.10599279272702,1.90793334085657,2.4957058625082,6.63658774951853,2.58390751664827,-9.61570444663408,-5.20901383663712,2.94168711931111,0.273701214461573,3.72101284632035
41,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
42,0.248550282995264,1,0.279,4.776,1.678,0.98,-7.72918529002867,2.06567228416546,1.87188088321063,2.45252734117233,6.59939437440889,2.53621562038495,-9.57300876691745,-5.16696447868431,2.88912596695342,0.242804107819035,3.6893450136328
43,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
44,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
45,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
46,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
47,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
48,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
49,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
50,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
51,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
52,0.233423358203939,1,0.282,4.689,1.66,0.981,-7.72828894058333,2.0799646495515,1.88466035738204,2.46783278313666,6.6125782683123,2.55312091329086,-9.58814305655528,-5.1818696673724,2.90775725959846,0.253756170510217,3.70057027471956
53,0.205875380410245,1,0.288,4.543,1.629,0.981,-7.72665657875458,2.10599279272702,1.90793334085657,2.4957058625082,6.63658774951853,2.58390751664827,-9.61570444663408,-5.20901383663712,2.94168711931111,0.273701214461573,3.72101284632035
54,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
55,0.233423358203939,1,0.282,4.689,1.66,0.981,-7.72828894058333,2.0799646495515,1.88466035738204,2.46783278313666,6.6125782683123,2.55312091329086,-9.58814305655528,-5.1818696673724,2.90775725959846,0.253756170510217,3.70057027471956
56,0.205875380410245,1,0.288,4.543,1.629,0.981,-7.72665657875458,2.10599279272702,1.90793334085657,2.4957058625082,6.63658774951853,2.58390751664827,-9.61570444663408,-5.20901383663712,2.94168711931111,0.273701214461573,3.72101284632035
57,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
58,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
59,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
60,0.193345676728876,1,0.29,4.48,1.618,0.982,-7.72591412824994,2.11783122688752,1.91851864003537,2.5083834328122,6.64750803148298,2.597910251089,-9.6282402506528,-5.22135987525059,2.95711950753698,0.282772860028224,3.73031078341618
61,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
62,0.181578538605516,1,0.293,4.424,1.607,0.982,-7.72521686374472,2.12894916658294,1.92845971132337,2.52028943830359,6.65776369829598,2.61106077040366,-9.64001311784319,-5.2329545262763,2.97161267101834,0.291292399604222,3.73904284227816
63,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
64,0.233423358203939,1,0.282,4.689,1.66,0.981,-7.72828894058333,2.0799646495515,1.88466035738204,2.46783278313666,6.6125782683123,2.55312091329086,-9.58814305655528,-5.1818696673724,2.90775725959846,0.253756170510217,3.70057027471956
65,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
66,0.187369755900262,1,0.292,4.451,1.612,0.982,-7.72556002367191,2.12347745341266,1.92356719596681,2.51442987719449,6.65271635420993,2.60458871967292,-9.63421908097824,-5.22724819880375,2.96447983564843,0.287099493528118,3.73474534446942
67,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
68,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
69,0.240868100294111,1,0.281,4.732,1.669,0.981,-7.72873008050669,2.07293063731006,1.87837091715763,2.46030018351232,6.60608979222023,2.54480094427009,-9.58069468984321,-5.17453405308734,2.89858783683327,0.248366093993277,3.69504574314169
70,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
71,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
72,0.165256896611173,1,0.296,4.351,1.593,0.982,-7.72424972105376,2.14437033607385,1.94224850218331,2.53680369667091,6.67198884976273,2.62930123516607,-9.65634270635606,-5.24903691955724,2.9917154541444,0.303109450909163,3.75115466905581
73,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
74,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
75,0.160149142730978,1,0.297,4.329,1.589,0.982,-7.72394705991009,2.14919629282083,1.94656361643729,2.54197172861791,6.67644052028864,2.63500947240709,-9.6614529470486,-5.25406980207678,2.99800649205286,0.306807521830961,3.75494498808384
76,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
77,0.187369755900262,1,0.292,4.451,1.612,0.982,-7.72556002367191,2.12347745341266,1.92356719596681,2.51442987719449,6.65271635420993,2.60458871967292,-9.63421908097824,-5.22724819880375,2.96447983564843,0.287099493528118,3.73474534446942
78,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
79,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
80,0.193345676728876,1,0.29,4.48,1.618,0.982,-7.72591412824994,2.11783122688752,1.91851864003537,2.5083834328122,6.64750803148298,2.597910251089,-9.6282402506528,-5.22135987525059,2.95711950753698,0.282772860028224,3.73031078341618
81,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
82,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
83,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
84,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
85,0.193345676728876,1,0.29,4.48,1.618,0.982,-7.72591412824994,2.11783122688752,1.91851864003537,2.5083834328122,6.64750803148298,2.597910251089,-9.6282402506528,-5.22135987525059,2.95711950753698,0.282772860028224,3.73031078341618
86,0.205875380410245,1,0.288,4.543,1.629,0.981,-7.72665657875458,2.10599279272702,1.90793334085657,2.4957058625082,6.63658774951853,2.58390751664827,-9.61570444663408,-5.20901383663712,2.94168711931111,0.273701214461573,3.72101284632035
87,0.233423358203939,1,0.282,4.689,1.66,0.981,-7.72828894058333,2.0799646495515,1.88466035738204,2.46783278313666,6.6125782683123,2.55312091329086,-9.58814305655528,-5.1818696673724,2.90775725959846,0.253756170510217,3.70057027471956
88,0.199512191976414,1,0.289,4.511,1.624,0.982,-7.72627952654457,2.1120049211253,1.91330906681275,2.50214414475165,6.64213359590544,2.59101878121614,-9.62207073311373,-5.21528375108256,2.94952443109137,0.278308234037891,3.72573478766
89,0.248550282995264,1,0.279,4.776,1.678,0.98,-7.72918529002867,2.06567228416546,1.87188088321063,2.45252734117233,6.59939437440889,2.53621562038495,-9.57300876691745,-5.16696447868431,2.88912596695342,0.242804107819035,3.6893450136328
90,0.205875380410245,1,0.288,4.543,1.629,0.981,-7.72665657875458,2.10599279272702,1.90793334085657,2.4957058625082,6.63658774951853,2.58390751664827,-9.61570444663408,-5.20901383663712,2.94168711931111,0.273701214461573,3.72101284632035
91,0.193345676728876,1,0.29,4.48,1.618,0.982,-7.72591412824994,2.11783122688752,1.91851864003537,2.5083834328122,6.64750803148298,2.597910251089,-9.6282402506528,-5.22135987525059,2.95711950753698,0.282772860028224,3.73031078341618
92,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
93,0.175966316034832,1,0.294,4.398,1.602,0.982,-7.72488431019152,2.13425176025049,1.93320100900123,2.52596789232061,6.66265503926282,2.61733278323636,-9.64562807283692,-5.23848448279619,2.9785250449837,0.295355711498669,3.74320751318794
94,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
95,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
96,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
97,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
98,0.240868100294111,1,0.281,4.732,1.669,0.981,-7.72873008050669,2.07293063731006,1.87837091715763,2.46030018351232,6.60608979222023,2.54480094427009,-9.58069468984321,-5.17453405308734,2.89858783683327,0.248366093993277,3.69504574314169
99,0.187369755900262,1,0.292,4.451,1.612,0.982,-7.72556002367191,2.12347745341266,1.92356719596681,2.51442987719449,6.65271635420993,2.60458871967292,-9.63421908097824,-5.22724819880375,2.96447983564843,0.287099493528118,3.73474534446942
100,0.240868100294111,1,0.281,4.732,1.669,0.981,-7.72873008050669,2.07293063731006,1.87837091715763,2.46030018351232,6.60608979222023,2.54480094427009,-9.58069468984321,-5.17453405308734,2.89858783683327,0.248366093993277,3.69504574314169
101,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
102,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
103,0.187369755900262,1,0.292,4.451,1.612,0.982,-7.72556002367191,2.12347745341266,1.92356719596681,2.51442987719449,6.65271635420993,2.60458871967292,-9.63421908097824,-5.22724819880375,2.96447983564843,0.287099493528118,3.73474534446942
104,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
105,0.233423358203939,1,0.282,4.689,1.66,0.981,-7.72828894058333,2.0799646495515,1.88466035738204,2.46783278313666,6.6125782683123,2.55312091329086,-9.58814305655528,-5.1818696673724,2.90775725959846,0.253756170510217,3.70057027471956
106,0.187369755900262,1,0.292,4.451,1.612,0.982,-7.72556002367191,2.12347745341266,1.92356719596681,2.51442987719449,6.65271635420993,2.60458871967292,-9.63421908097824,-5.22724819880375,2.96447983564843,0.287099493528118,3.73474534446942
107,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
108,0.205875380410245,1,0.288,4.543,1.629,0.981,-7.72665657875458,2.10599279272702,1.90793334085657,2.4957058625082,6.63658774951853,2.58390751664827,-9.61570444663408,-5.20901383663712,2.94168711931111,0.273701214461573,3.72101284632035
109,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
110,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
111,0.233423358203939,1,0.282,4.689,1.66,0.981,-7.72828894058333,2.0799646495515,1.88466035738204,2.46783278313666,6.6125782683123,2.55312091329086,-9.58814305655528,-5.1818696673724,2.90775725959846,0.253756170510217,3.70057027471956
112,0.193345676728876,1,0.29,4.48,1.618,0.982,-7.72591412824994,2.11783122688752,1.91851864003537,2.5083834328122,6.64750803148298,2.597910251089,-9.6282402506528,-5.22135987525059,2.95711950753698,0.282772860028224,3.73031078341618
113,0.219217067462534,1,0.285,4.612,1.643,0.981,-7.72744714352265,2.09338717269202,1.89666206480808,2.4822067263849,6.62495978223395,2.56899733955746,-9.60235626391405,-5.19586771700771,2.92525464018671,0.264041683855155,3.71111235943582
114,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
115,0.226208717919368,1,0.284,4.65,1.651,0.981,-7.72786143539595,2.0867812548099,1.89075540382701,2.47513256545807,6.61886619883189,2.56118372902531,-9.59536120943207,-5.18897855276991,2.91664327419329,0.258979650747011,3.70592405428537
116,0.212441514672315,1,0.286,4.576,1.635,0.981,-7.72704565656683,2.09978891511529,1.90238616293603,2.48906223941465,6.63086502539179,2.57656944731223,-9.60913511551794,-5.20254395121906,2.93359984640727,0.268947259836364,3.71614030464785
